FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1738,1169826,POINT (16.469368317750483 48.15438574967962),PA Flammweg,11,"Drehen, Karussell, Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1739,1169827,POINT (16.3640281233279 48.15213833738828),PA Laxenburger Straße,10,"Klettern, Rutschen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173a,1169798,POINT (16.33332339856201 48.19448600759624),PA Friedrichsplatz,15,"Spieltier, Tischtennis","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173b,1169828,POINT (16.39896805006766 48.150935481250315),Kurpark Oberlaa,10,"Beachvolleyball, Brettspiel, Hüpfen, Klangspiel, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Sinnesspiel, Skaten, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173c,1169829,POINT (16.40534729840566 48.148423194546865),Kurpark Oberlaa,10,"Drehen, Fitness, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Seilbahn, Sinnesspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173d,1169830,POINT (16.405204461800192 48.14740994159778),Kurpark Oberlaa,10,"Brettspiel, Tischfußball, Tischtennis","Ballspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173e,1169831,POINT (16.39977887809974 48.146750815955265),Kurpark Oberlaa,10,Labyrinth,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_173f,1169832,POINT (16.40287729680062 48.14623377204155),Kurpark Oberlaa,10,Rodelhügel,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1740,1169833,POINT (16.40493361466996 48.21954116604414),GA Ilgplatz,2,Klettern,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1741,1169834,POINT (16.31286500491959 48.12864571810131),PA Basler Gasse,23,"Fußball, Karussell, Klettern, Rutschen, Schaukeln, Wasserspiel","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1742,1169835,POINT (16.379092394611764 48.16066407476839),PA Heuberggstätten,10,"Fitness, Fußball, Klettern, Rutschen, Schaukeln, Tischtennis, Volleyball, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1743,1169836,POINT (16.457397049838416 48.25151102880229),Ladinigpark,22,"Fitness, Hängematte, Hüpfen, Klettern, Sandspielen, Schaukeln, Slackline, Trampolin","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1744,1169837,POINT (16.32591294452366 48.188623925640165),Braunhirschenpark,15,"Balancieren, Basketball, Fitness, Fußball, Klettern, Rutschen, Schaukeln, Wippen","Ballspielkäfig, Generationenspielplatz, Spielplatz",
